name;planet_status;mass;radius;type;orbital_period;semi_major_axis;star_name;star_distance;star_teff;star_radius;temp_calculated;mag_v;mag_j;mag_k;scale_factor;tsm;esm;alternate_names;updated;observation_type;reference;molecules;albedo;phase_curve;comments
"WASP-101 b";"Confirmed";0.5;1.36;"Hot Jupiter";3.5857076;0.0496;"WASP-101";201.2240000;6400.0;1.29;1573.0;10.3;9.3340000;9.0750000;1.15;328.5444;132.3943;;"8/2/24";"HST WFC3";"2017ApJ...835L..12W";"{"Cloudy":"Detection"}";;"No";"Rule out clear atmosphere at 13σ"
"WASP-101 b";"Confirmed";0.5;1.36;"Hot Jupiter";3.5857076;0.0496;"WASP-101";201.2240000;6400.0;1.29;1573.0;10.3;9.3340000;9.0750000;1.15;328.5444;132.3943;;"8/2/24";"HST STIS";"2023MNRAS.522..582R";"{"Cloudy":"Detection","Featureless spectra":"Detection"}";;"No";
"WASP-103 b";"Confirmed";1.49;1.528;"UltraHot Jupiter";0.925542;0.01985;"WASP-103";470.0;6110.0;1.436;2508.0;12.0;11.1000000;10.7670000;1.15;89.2073;131.993;;"4/4/24";"HST-Other";2112.09973;"{"H-":"Detection","H2O":"Detection","FeH":"Detection","CO":"Upper limit","CH4":"Upper limit"}";0;"Yes";"HST+Spitzer data"
"WASP-103 b";"Confirmed";1.49;1.528;"UltraHot Jupiter";0.925542;0.01985;"WASP-103";470.0;6110.0;1.436;2508.0;12.0;11.1000000;10.7670000;1.15;89.2073;131.993;;"4/4/24";"G-B:Low resolution IR";2303.13732;"{"Molecular ratios: C/O, etc...":"Detection"}";;"No";
"WASP-103 b";"Confirmed";1.49;1.528;"UltraHot Jupiter";0.925542;0.01985;"WASP-103";470.0;6110.0;1.436;2508.0;12.0;11.1000000;10.7670000;1.15;89.2073;131.993;;"4/4/24";"HST WFC3";"2018AJ....156...17K";"[]";0;"Yes";
"WASP-103 b";"Confirmed";1.49;1.528;"UltraHot Jupiter";0.925542;0.01985;"WASP-103";470.0;6110.0;1.436;2508.0;12.0;11.1000000;10.7670000;1.15;89.2073;131.993;;"4/4/24";"Spitzer";"2018AJ....156...17K";"[]";0;"Yes";"Spitzer Channel 1 and Channel 2 phase curves"
"WASP-103 b";"Confirmed";1.49;1.528;"UltraHot Jupiter";0.925542;0.01985;"WASP-103";470.0;6110.0;1.436;2508.0;12.0;11.1000000;10.7670000;1.15;89.2073;131.993;;"4/4/24";"Spitzer";2408.13308;"[]";0.25;"Yes";"Dayside and nightside temperatures from phase curve at 4.5 um."
"WASP-103 b";"Confirmed";1.49;1.528;"UltraHot Jupiter";0.925542;0.01985;"WASP-103";470.0;6110.0;1.436;2508.0;12.0;11.1000000;10.7670000;1.15;89.2073;131.993;;"4/4/24";"G-B: Low resolution visible";"2015MNRAS.447..711S";"[]";0;"No";"Planet radius measured in the g, r, i and z filters. Increasing radius at bluer wavelengths found."
"WASP-103 b";"Confirmed";1.49;1.528;"UltraHot Jupiter";0.925542;0.01985;"WASP-103";470.0;6110.0;1.436;2508.0;12.0;11.1000000;10.7670000;1.15;89.2073;131.993;;"4/4/24";"G-B: Low resolution visible";"2016MNRAS.463...37S";"[]";0;"No";"Planet radius in g, r, i, z filters corrected for the presence of a faint nearby star."
"WASP-103 b";"Confirmed";1.49;1.528;"UltraHot Jupiter";0.925542;0.01985;"WASP-103";470.0;6110.0;1.436;2508.0;12.0;11.1000000;10.7670000;1.15;89.2073;131.993;;"4/4/24";"HST WFC3";"2020MNRAS.497.5155W";"{"H2O":"Detection"}";0;"No";"H2O absorption detected at 4 sigma"
"WASP-103 b";"Confirmed";1.49;1.528;"UltraHot Jupiter";0.925542;0.01985;"WASP-103";470.0;6110.0;1.436;2508.0;12.0;11.1000000;10.7670000;1.15;89.2073;131.993;;"4/4/24";"HST WFC3";2204.11729;"{"VO":"Detection","TiO":"Detection"}";;"No";
"WASP-103 b";"Confirmed";1.49;1.528;"UltraHot Jupiter";0.925542;0.01985;"WASP-103";470.0;6110.0;1.436;2508.0;12.0;11.1000000;10.7670000;1.15;89.2073;131.993;;"4/4/24";"G-B: Low resolution visible";2105.00012;"{"Na":"Upper limit","TiO":"Upper limit","H2O":"Upper limit","HCN":"Upper limit"}";0;"No";"V. high precision opt. trans. spec. Unocculted faculae (4.3sig), Na (2.8sig), TiO (2.1sig), H2O (1.9sig), HCN (1.7 sig)."
"WASP-103 b";"Confirmed";1.49;1.528;"UltraHot Jupiter";0.925542;0.01985;"WASP-103";470.0;6110.0;1.436;2508.0;12.0;11.1000000;10.7670000;1.15;89.2073;131.993;;"4/4/24";"G-B: High resolution visible";2403.15631;"{"Na":"Upper limit","H":"Upper limit"}";;"No";"Featureless spectra around the Na doublet and Halpha"
"WASP-103 b";"Confirmed";1.49;1.528;"UltraHot Jupiter";0.925542;0.01985;"WASP-103";470.0;6110.0;1.436;2508.0;12.0;11.1000000;10.7670000;1.15;89.2073;131.993;;"4/4/24";"G-B: Low resolution visible";2209.06680;"[]";0.13;"No";"geometric albedo in Johnson B and Johnson V, respectively: 0.13 ± 0.09 and 0.00 ± 0.12"
"WASP-104 b";"Confirmed";1.272;1.137;"Hot Jupiter";1.7554137;0.02918;"WASP-104";143.0;5450.0;0.93;1516.0;11.12;10.3600000;9.8820000;1.15;87.242;139.3542;;"4/17/18";"G-B: Low resolution visible";"2021MNRAS.500.5420C";"{"Rayleigh Scattering":"Detection"}";0;"No";"Instruments: P200/DBSP, TCS/MuSCAT2 and K2."
"WASP-105 b";"Confirmed";1.8;0.96;"Hot Jupiter";7.87288;0.075;"WASP-105";169.2720000;5070.0;0.9;9.00000000000e+02;12.1;10.4560000;9.9350000;1.15;22.5059;41.0021;;"4/5/24";"G-B: High resolution visible";2403.15631;"{"Na":"Upper limit","H":"Upper limit"}";;"No";"Featureless spectra around the Na doublet and Halpha"
"WASP-106 b";"Confirmed";1.925;1.085;"Hot Jupiter";9.289715;0.0917;"WASP-106";283.0;6000.0;1.85;1140.0;11.21;10.4720000;10.1610000;1.15;9.041;15.0342;;"8/15/23";"G-B: High resolution visible";2406.08558;"{"H2O":"Upper limit"}";;"No";"One transit with ESPRESSO"
"WASP-107 b";"Confirmed";0.12;0.94;"Warm Jupiter";5.72149;0.055;"WASP-107";64.7414000;4430.0;0.66;739.9933284299;11.6;9.3780000;8.6370000;1.15;796.0498;97.3879;;"5/20/24";"G-B: High resolution IR";2107.08999;"{"He":"Detection"}";0;"No";"Detection of long post-transit tail"
"WASP-107 b";"Confirmed";0.12;0.94;"Warm Jupiter";5.72149;0.055;"WASP-107";64.7414000;4430.0;0.66;739.9933284299;11.6;9.3780000;8.6370000;1.15;796.0498;97.3879;;"5/20/24";"HST WFC3";"2018Natur.557...68S";"{"He":"Detection"}";;"No";
"WASP-107 b";"Confirmed";0.12;0.94;"Warm Jupiter";5.72149;0.055;"WASP-107";64.7414000;4430.0;0.66;739.9933284299;11.6;9.3780000;8.6370000;1.15;796.0498;97.3879;;"5/20/24";"JWST-NIRCam";2405.11018;"{"H2O":"Detection","CO2":"Detection","CO":"Detection","CH4":"Detection","SO2":"Detection","NH3":"Detection","Molecular ratios: C\/O, etc...":"Detection"}";;"No";
"WASP-107 b";"Confirmed";0.12;0.94;"Warm Jupiter";5.72149;0.055;"WASP-107";64.7414000;4430.0;0.66;739.9933284299;11.6;9.3780000;8.6370000;1.15;796.0498;97.3879;;"5/20/24";"G-B: High resolution IR";"2019A&A...623A..58A";"{"He":"Detection"}";0;"No";"Using CARMENES. The detection confirms previous detection done with HST/WFC3."
"WASP-107 b";"Confirmed";0.12;0.94;"Warm Jupiter";5.72149;0.055;"WASP-107";64.7414000;4430.0;0.66;739.9933284299;11.6;9.3780000;8.6370000;1.15;796.0498;97.3879;;"5/20/24";"JWST-NIRCam";2406.09863;"{"Cloudy":"Detection"}";;"No";"Found limb asymmetry in cloud properties"
"WASP-107 b";"Confirmed";0.12;0.94;"Warm Jupiter";5.72149;0.055;"WASP-107";64.7414000;4430.0;0.66;739.9933284299;11.6;9.3780000;8.6370000;1.15;796.0498;97.3879;;"5/20/24";"HST WFC3";"2018ApJ...858L...6K";"[]";0;"No";"H2O absorption detected at 6.5 sigma"
"WASP-107 b";"Confirmed";0.12;0.94;"Warm Jupiter";5.72149;0.055;"WASP-107";64.7414000;4430.0;0.66;739.9933284299;11.6;9.3780000;8.6370000;1.15;796.0498;97.3879;;"5/20/24";"JWST-MIRI";2311.12515;"{"SO2":"Detection","CH4":"No detection","Cloudy":"Detection","H2O":"Detection"}";;"No";
